,ID,Review URL,Text,Star,Thumbs Up,User Name,Developer Reply,Version,Review Date,App ID,review_score,predicted_semantics,user_semantics
15,3901,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFGWKHxW5O6bL8p3zURZeK-xUQY2ucrIq4hucgnisKC2cJw67j-fn6IErsxlOAx_aKu0coe6OiGVCg49kQ,Very coming in real status. Thank you,1,0,Richyy Gonzalez,,87.0.4280.86,2020-12-19,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9998787641525269}]",POSITIVE,NEGATIVE
42,3928,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHpjxrDWG8isJIUKLeU9nxvDitKBHz1m7cVCPiWzQQi3kbikuMhlCM4BDIgQo3tMD6_9UclO_vg6hhwup4,Okk kind but bad then brave,1,0,shradha baradiya,,87.0.4280.101,2020-12-19,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9884595274925232}]",POSITIVE,NEGATIVE
84,3970,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGOOAdhGCAXmcQo7O1pJ_OAsvieRxJga5kLViwlQt6YfRSDkp456GE9XIMRMCs1-F9obFoY-lo8Q9oWRYM,App updated issue,1,0,Umesh Pandhare,,86.0.4240.185,2020-12-19,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9864133596420288}]",POSITIVE,NEGATIVE
91,3977,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGTixBCZLA031UABivOlcu2eZB94bUnht6DeCjKLkfi-yMySnyBtFVrPRNXcXS2_pI0N9NwKjLEU8QmJM8,Jelek..........?!!!!!!!!!!!!!!!!!,1,0,Ainiyyah official,,,2020-12-19,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9696270227432251}]",POSITIVE,NEGATIVE
101,4113,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGam4O8tkplGZra_QgwRA5DaQMrhf5lXRq56BIaXtzvGBhkPNA_koAhjIkC8B1KXViBKVCq9l3T1WT5w60,Good,1,0,Sohail Soomro,,74.0.3729.136,2020-12-21,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9998161196708679}]",POSITIVE,NEGATIVE
102,4092,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOH0LaZ49JbgGzzt0vuRAgHINjX2FnnL3Bl2sja8WcVm0nyzQSzSmrv2WTsxq53GirTe6JODCrqbSfly1t0,Says update but wont this whole thing is like its not even google im lost,1,0,shayne andrew,,87.0.4280.101,2020-12-21,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9913705587387085}]",POSITIVE,NEGATIVE
106,4088,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEWc8McR6TR4jJ8gYnEbgj_-tgtqluTu8QMc5GZucwNQ_mAGOKStn5DTX1KuIKFFw6_X0KYQCMHYOV5Eys,Fact and simple browse,2,0,Alex Lara,,86.0.4240.99,2020-12-21,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9759892225265503}]",POSITIVE,NEGATIVE
110,4095,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG4muv0ImAGfM8OJKkdqnC0XLTFnioHutXOZA0N4BdpsE6AixSkAE2jqMR41vCEwp4CbWvxMG_JAARBUns,"It's updated, but the request is still saying update..how do I delete or rid the 🛑 sign where it keeps saying newer version..but I tap on an update but it keeps reappearing",2,0,Lin Wise,,87.0.4280.66,2020-12-21,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.584102213382721}]",POSITIVE,NEGATIVE
122,4107,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFsRIgjHyOwgg-qQFqZCG5l6I94K0qP9gRv5cRutY4Ltg9p8ayxLxy1r76NNVonSCmzcoTYmds6v-XVxtg,always offline,1,0,Brian Mahinay,,77.0.3865.92,2020-12-21,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.6830708980560303}]",POSITIVE,NEGATIVE
158,4143,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGs_j9GCuk-trSJbRPlg6IkMe-qW2E4y3w_JWVB13VsHf-cG2kgt0BntS_WQreeBro6hE8wqN0oWHDpBgs,Good,1,0,Md Rubel khan,,,2020-12-21,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9998161196708679}]",POSITIVE,NEGATIVE
168,4154,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGumRulcgIsQoxo3sYdk91HGMQuy_MrGxDlSrQf1PLFdvvcTYB0dlTGf-0GlO9mCTwSTSiFRplHIKaRr5Q,Rules of admission in rehabilitation centre in Bagayam,1,0,HD STAR,,71.0.3578.99,2020-12-21,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.7507186532020569}]",POSITIVE,NEGATIVE
178,4164,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHMUdmvpfOjE3rWJnbguJVmxj2W3KoHO-TM6iK3bBCfWfImpPj6VdWVPahAHKO60ABPiDv9IgTNU8xFdpA,Help,2,0,George & Jodie Wood,,83.0.4103.96,2020-12-21,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9892712831497192}]",POSITIVE,NEGATIVE
199,4185,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHvs-SKGEq8lKtsc3FKjWjkoalxcDEcRrchWyb1SmfRC71n13zUacalfDQb8VnSRCx1sRv9nkLSIMi6Gdg,Open my chrome app,1,0,Anol Sarker,,87.0.4280.101,2020-12-21,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9639387726783752}]",POSITIVE,NEGATIVE
226,5186,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG_73Na16kD1dKontoFBRnZ33D-qPXW5E2gSWSm00dTqCksPEKEgbDk67-gYr2y6ZCtl8_n4lHCm726-Dk,Vinay,1,0,Ramsurat Ramsurat,,,2020-12-21,com.android.chrome,"[{'label': 'POSITIVE', 'score': 0.9962743520736694}]",POSITIVE,NEGATIVE
